,seed,rmse,mae,target_tree_size,v,epochs,method
134,3,83.09789065704786,55.182134744988126,5,0.15,1000,Baseline (XGBoost)
135,4,78.5001908784757,53.165240838122266,1,0.005,1000,Baseline (XGBoost)
136,4,75.6925631679946,50.70153296181649,2,0.005,1000,Baseline (XGBoost)
137,4,75.50815572375797,50.13045452199226,3,0.005,1000,Baseline (XGBoost)
138,4,76.01477085175902,50.30603220229234,4,0.005,1000,Baseline (XGBoost)
139,4,77.58553582080226,51.50232863815077,5,0.005,1000,Baseline (XGBoost)
140,4,75.43864379335248,50.397289148710485,1,0.01,1000,Baseline (XGBoost)
141,4,75.58889202097097,50.58567218194383,2,0.01,1000,Baseline (XGBoost)
142,4,75.36512133706994,49.95752697855635,3,0.01,1000,Baseline (XGBoost)
143,4,75.7828712172641,50.135827665145655,4,0.01,1000,Baseline (XGBoost)
144,4,77.28876286380846,51.2653526403511,5,0.01,1000,Baseline (XGBoost)
145,4,75.30625038849125,50.26044938831552,1,0.02,1000,Baseline (XGBoost)
146,4,75.53031129639294,50.553537183832354,2,0.02,1000,Baseline (XGBoost)
147,4,75.37909171028825,49.87914540441801,3,0.02,1000,Baseline (XGBoost)
148,4,75.96829972160275,50.25096340296193,4,0.02,1000,Baseline (XGBoost)
149,4,77.40209797044085,51.41364236005829,5,0.02,1000,Baseline (XGBoost)
150,4,75.1423271360268,50.10054266328721,1,0.03,1000,Baseline (XGBoost)
151,4,75.42568291602416,50.49047391786284,2,0.03,1000,Baseline (XGBoost)
152,4,75.6101230027274,50.278503761050935,3,0.03,1000,Baseline (XGBoost)
153,4,75.9633774264758,50.30489496028844,4,0.03,1000,Baseline (XGBoost)
154,4,77.33276384941367,51.224618500387685,5,0.03,1000,Baseline (XGBoost)
155,4,75.04095915070539,50.11065602434571,1,0.05,1000,Baseline (XGBoost)
156,4,75.19642268876854,50.018012469097705,2,0.05,1000,Baseline (XGBoost)
157,4,75.12847823618743,49.72151612366673,3,0.05,1000,Baseline (XGBoost)
158,4,76.17245069760801,50.3796551768818,4,0.05,1000,Baseline (XGBoost)
159,4,77.56087909854365,51.357981207430626,5,0.05,1000,Baseline (XGBoost)
160,4,75.52179275847233,50.16172805807786,1,0.08,1000,Baseline (XGBoost)
161,4,75.88641974886154,50.76115590553813,2,0.08,1000,Baseline (XGBoost)
162,4,75.472384279983,50.10268334854639,3,0.08,1000,Baseline (XGBoost)
163,4,76.416005652668,50.44531637203818,4,0.08,1000,Baseline (XGBoost)
164,4,77.34108361819825,51.261040129870416,5,0.08,1000,Baseline (XGBoost)
165,4,75.82057740392807,50.85172435197934,1,0.1,1000,Baseline (XGBoost)
166,4,75.05861871505114,50.05898955684312,2,0.1,1000,Baseline (XGBoost)
167,4,74.83791960760651,49.54966121752846,3,0.1,1000,Baseline (XGBoost)
168,4,75.74638530293629,50.04015990177406,4,0.1,1000,Baseline (XGBoost)
169,4,77.19349635585813,51.17712418782708,5,0.1,1000,Baseline (XGBoost)
