,seed,disturbance_level,rmse,mae,source_tree_size,target_tree_size,v,tau,epochs
80,1.0,2.0,1.1430480129972556,0.8878185766864474,2.0,2.0,0.05,0.97,200.0
81,1.0,2.0,1.363986562582857,1.07308390036623,2.0,2.0,0.05,0.99,200.0
82,1.0,2.0,1.044215931040092,0.8078903759307675,2.0,3.0,0.05,0.97,200.0
83,1.0,2.0,1.1535656580646447,0.8992543479426389,2.0,3.0,0.05,0.99,200.0
84,1.0,2.0,1.549090061823523,1.2292597977985587,3.0,1.0,0.05,0.97,200.0
85,1.0,2.0,1.7565884474538225,1.3999624831996957,3.0,1.0,0.05,0.99,200.0
86,1.0,2.0,1.0819764570239652,0.8390434004957322,3.0,2.0,0.05,0.97,200.0
87,1.0,2.0,1.26783934799994,0.9959943604089624,3.0,2.0,0.05,0.99,200.0
88,1.0,2.0,1.0087035728001783,0.7779735003922644,3.0,3.0,0.05,0.97,200.0
89,1.0,2.0,1.1042144273405752,0.8543664603071968,3.0,3.0,0.05,0.99,200.0
90,1.0,2.0,1.1848302339126973,0.936461947638275,1.0,1.0,0.1,0.97,200.0
91,1.0,2.0,1.3613492921046662,1.0793593052947938,1.0,1.0,0.1,0.99,200.0
92,1.0,2.0,0.7894616786882926,0.6115433679698262,1.0,2.0,0.1,0.97,200.0
93,1.0,2.0,0.889327935327828,0.6921613551351026,1.0,2.0,0.1,0.99,200.0
94,1.0,2.0,0.8259088338759759,0.6431760462125045,1.0,3.0,0.1,0.97,200.0
95,1.0,2.0,0.8741520533071492,0.6803539182446683,1.0,3.0,0.1,0.99,200.0
96,1.0,2.0,1.1927838335741792,0.9326610665716691,2.0,1.0,0.1,0.97,200.0
97,1.0,2.0,1.3641615833207263,1.0743905029719285,2.0,1.0,0.1,0.99,200.0
98,1.0,2.0,0.8287502514904017,0.6386873574128449,2.0,2.0,0.1,0.97,200.0
99,1.0,2.0,0.9276541531751575,0.7242803015772643,2.0,2.0,0.1,0.99,200.0
100,1.0,2.0,0.8668006350815439,0.6731139132673063,2.0,3.0,0.1,0.97,200.0
101,1.0,2.0,0.8903928563256716,0.6976642422349785,2.0,3.0,0.1,0.99,200.0
102,1.0,2.0,1.1369382872269331,0.8922531464892323,3.0,1.0,0.1,0.97,200.0
103,1.0,2.0,1.314940582488175,1.0317823559558574,3.0,1.0,0.1,0.99,200.0
104,1.0,2.0,0.8180403726065509,0.6310708239129529,3.0,2.0,0.1,0.97,200.0
105,1.0,2.0,0.9207449641807791,0.7104579463944731,3.0,2.0,0.1,0.99,200.0
106,1.0,2.0,0.8672058499752991,0.6704826080297944,3.0,3.0,0.1,0.97,200.0
107,1.0,2.0,0.9188574218575222,0.7065211162147934,3.0,3.0,0.1,0.99,200.0
