,seed,target_instances,d,method,v,source_tree_size,target_tree_size,k,m_0,epochs,val_rmse,val_mae,rmse,mae
2009,85,300,6,MTransferTreeBoost,0.05,1,3,0.01,0.1,400,1.1575792401750618,0.9038016337317522,1.1743012162745248,0.918588522444859
2010,85,300,6,LSTransferTreeBoost,0.05,1,3,0.01,0.5,400,1.497911055698534,1.1409708417347806,1.5675373169081166,1.140782637343932
2011,85,300,6,LADTransferTreeBoost,0.05,1,3,0.01,0.5,400,1.21434055349681,0.928468727738678,1.2404440941496093,0.9657984386631613
2012,85,300,6,MTransferTreeBoost,0.05,1,3,0.01,0.5,400,1.1429559180947915,0.8974217846209699,1.1464276826811817,0.8924606727654052
2013,85,300,6,LSTransferTreeBoost,0.05,1,3,0.01,0.9,400,1.485918865006211,1.1261200853870252,1.559919238552163,1.1375553274392414
2014,85,300,6,LADTransferTreeBoost,0.05,1,3,0.01,0.9,400,1.269033249459644,0.9825550962252996,1.303285794052781,1.0132092543955051
2015,85,300,6,MTransferTreeBoost,0.05,1,3,0.01,0.9,400,1.1596456245440012,0.9149273281453022,1.163895517447345,0.9092762774735743
2016,85,300,6,LSTransferTreeBoost,0.05,1,3,0.05,0.1,400,1.5343185239510226,1.1639842717202533,1.6114815033120367,1.1822684370472893
2017,85,300,6,LADTransferTreeBoost,0.05,1,3,0.05,0.1,400,1.5103945887137844,1.146833852070683,1.4960642168776968,1.164019680523358
2018,85,300,6,MTransferTreeBoost,0.05,1,3,0.05,0.1,400,1.1843217353532318,0.9249859718546843,1.1863702739785158,0.9245339955001921
2019,85,300,6,LSTransferTreeBoost,0.05,1,3,0.05,0.5,400,1.5225348013278734,1.149911137399996,1.589454483029096,1.1457251599230829
2020,85,300,6,LADTransferTreeBoost,0.05,1,3,0.05,0.5,400,1.667210236035481,1.2913006687328852,1.6603070422088633,1.3258691654095986
2021,85,300,6,MTransferTreeBoost,0.05,1,3,0.05,0.5,400,1.1726599564606588,0.917773780111641,1.1725752586031575,0.9062941992398391
2022,85,300,6,LSTransferTreeBoost,0.05,1,3,0.05,0.9,400,1.5246079003151787,1.167286489181784,1.5931991036594957,1.1645303210521338
2023,85,300,6,LADTransferTreeBoost,0.05,1,3,0.05,0.9,400,1.3230319235928798,1.022641515037266,1.3287812225613251,1.0456525022355676
2024,85,300,6,MTransferTreeBoost,0.05,1,3,0.05,0.9,400,1.1954169591789883,0.9356732143330844,1.1990769427817551,0.935795500164117
2025,85,300,6,LSTransferTreeBoost,0.05,2,1,0.0,0.1,400,1.4875099729853922,1.181661092660965,1.4939896519777014,1.2036693713989979
2026,85,300,6,LADTransferTreeBoost,0.05,2,1,0.0,0.1,400,3.7940749521922585,3.0514061849271044,3.7027714990320524,3.017035211038748
2027,85,300,6,MTransferTreeBoost,0.05,2,1,0.0,0.1,400,1.283587175935265,1.0119496985691758,1.2876961787668482,1.0215548281737221
2028,85,300,6,LSTransferTreeBoost,0.05,2,1,0.0,0.5,400,1.8317626837280694,1.464393225572456,1.827639471221184,1.4878927660261874
2029,85,300,6,LADTransferTreeBoost,0.05,2,1,0.0,0.5,400,1.8759316917094149,1.4794120227823313,1.9032907592613657,1.5460401310020788
2030,85,300,6,MTransferTreeBoost,0.05,2,1,0.0,0.5,400,1.7247433623571502,1.37103125626258,1.7174043156398755,1.3841981075131162
2031,85,300,6,LSTransferTreeBoost,0.05,2,1,0.0,0.9,400,3.056572507719754,2.4427501132251965,3.029567752933818,2.464503828293344
2032,85,300,6,LADTransferTreeBoost,0.05,2,1,0.0,0.9,400,4.2573952659330825,3.4132137661965407,4.216538050084534,3.3990560344226153
2033,85,300,6,MTransferTreeBoost,0.05,2,1,0.0,0.9,400,3.0138788358805977,2.407678575443391,2.9897449866607415,2.435918077853211
2034,85,300,6,LSTransferTreeBoost,0.05,2,1,0.01,0.1,400,1.6640581379785668,1.3263788464254247,1.63995462590396,1.3239834836612754
2035,85,300,6,LADTransferTreeBoost,0.05,2,1,0.01,0.1,400,3.8014507621783435,3.0581467756463785,3.709535585081973,3.0226313101227262
2036,85,300,6,MTransferTreeBoost,0.05,2,1,0.01,0.1,400,1.2639081904750011,0.9950220642808759,1.2618674450693848,1.0014768577676771
2037,85,300,6,LSTransferTreeBoost,0.05,2,1,0.01,0.5,400,1.5036681765636215,1.1976120175937122,1.5086252608309982,1.2155210729467127
2038,85,300,6,LADTransferTreeBoost,0.05,2,1,0.01,0.5,400,1.5243583978622577,1.201706023061864,1.5400108623415392,1.2375668097104695
2039,85,300,6,MTransferTreeBoost,0.05,2,1,0.01,0.5,400,1.3236871834551065,1.0439073068450717,1.3244863426249653,1.0533301410677005
2040,85,300,6,LSTransferTreeBoost,0.05,2,1,0.01,0.9,400,1.564352310509783,1.2478739014159328,1.5668663353366643,1.26492033853148
2041,85,300,6,LADTransferTreeBoost,0.05,2,1,0.01,0.9,400,4.225727734071173,3.387247010150499,4.183338154674867,3.3718529190880333
2042,85,300,6,MTransferTreeBoost,0.05,2,1,0.01,0.9,400,1.3988261373904094,1.1051209281967371,1.3937511011203776,1.1101395389606237
2043,85,300,6,LSTransferTreeBoost,0.05,2,1,0.05,0.1,400,1.781247714964589,1.4236811482042566,1.7415506133170473,1.4039938719563345
2044,85,300,6,LADTransferTreeBoost,0.05,2,1,0.05,0.1,400,3.424981965831495,2.7605222308111035,3.3252772284169496,2.7141810599891043
2045,85,300,6,MTransferTreeBoost,0.05,2,1,0.05,0.1,400,1.2678141973332084,0.9950581608620841,1.2577962560030398,0.9985602358233303
2046,85,300,6,LSTransferTreeBoost,0.05,2,1,0.05,0.5,400,1.866102079678414,1.4981053027554032,1.8292932419161674,1.4800477422462182
2047,85,300,6,LADTransferTreeBoost,0.05,2,1,0.05,0.5,400,3.3312195226506365,2.6819453352866933,3.2421939635433255,2.642046224008053
2048,85,300,6,MTransferTreeBoost,0.05,2,1,0.05,0.5,400,1.2726659199937225,0.9999798538869131,1.264010008303568,1.0041643122785444
2049,85,300,6,LSTransferTreeBoost,0.05,2,1,0.05,0.9,400,1.8023202362628432,1.4432883661336113,1.7666160272920002,1.4261828313836
2050,85,300,6,LADTransferTreeBoost,0.05,2,1,0.05,0.9,400,1.8072618893687415,1.4360055476572542,1.7979520375422549,1.4550103335211857
