,seed,method,d,v,target_tree_size,rmse,mae
324,7,xgboost,1,0.08,2,1.6089244161025849,1.2888860991910218
325,7,xgboost_naive_transfer,1,0.08,2,0.6837486975278093,0.5573985077924926
326,7,xgboost,1,0.08,3,1.6023598903566567,1.2747411529556685
327,7,xgboost_naive_transfer,1,0.08,3,0.7155648045487536,0.5673369558617665
328,7,xgboost,1,0.08,4,1.763722941337113,1.3854742150519292
329,7,xgboost_naive_transfer,1,0.08,4,0.7394800475139027,0.5919442975807276
330,7,xgboost,1,0.08,5,1.9198216746708738,1.4976697563108914
331,7,xgboost_naive_transfer,1,0.08,5,0.7927394095454061,0.6353705245284031
332,7,xgboost,1,0.08,6,2.105370663639292,1.661185265521482
333,7,xgboost_naive_transfer,1,0.08,6,0.8347445841375223,0.6610877403826266
334,7,xgboost,1,0.08,7,2.307912133339661,1.8250803546714982
335,7,xgboost_naive_transfer,1,0.08,7,0.8986347583743711,0.7017882260979481
336,7,xgboost,1,0.1,1,1.6280815328674907,1.2985368725793447
337,7,xgboost_naive_transfer,1,0.1,1,0.9688388020106993,0.757119308543461
338,7,xgboost,1,0.1,2,1.5891227124998635,1.261949905988046
339,7,xgboost_naive_transfer,1,0.1,2,0.6844510676889707,0.5557750034755827
340,7,xgboost,1,0.1,3,1.5961751647450513,1.2690433093835678
341,7,xgboost_naive_transfer,1,0.1,3,0.7191275881842015,0.5711483305573174
342,7,xgboost,1,0.1,4,1.8055816777519784,1.4186642434533578
343,7,xgboost_naive_transfer,1,0.1,4,0.7689420094761189,0.6088366631391168
344,7,xgboost,1,0.1,5,1.938789828195827,1.5138429993295577
345,7,xgboost_naive_transfer,1,0.1,5,0.7810128365525705,0.623802283764928
346,7,xgboost,1,0.1,6,2.1563106439685407,1.7025592462319135
347,7,xgboost_naive_transfer,1,0.1,6,0.8369682478555374,0.6650681750425863
348,7,xgboost,1,0.1,7,2.328032292768969,1.8394304672399957
349,7,xgboost_naive_transfer,1,0.1,7,0.8895138226971729,0.6977331016323535
350,7,xgboost,1,0.12,1,1.6421317686239123,1.3080967257247254
351,7,xgboost_naive_transfer,1,0.12,1,0.9879837945125708,0.7760665128383564
352,7,xgboost,1,0.12,2,1.630791079183888,1.2991744242692103
353,7,xgboost_naive_transfer,1,0.12,2,0.7092644397233185,0.576910750163997
354,7,xgboost,1,0.12,3,1.6487990954222427,1.3107353486172555
355,7,xgboost_naive_transfer,1,0.12,3,0.7241955359097515,0.5769258791495622
356,7,xgboost,1,0.12,4,1.7987852086723628,1.4183695186322336
357,7,xgboost_naive_transfer,1,0.12,4,0.7919404380001608,0.6236758701726787
358,7,xgboost,1,0.12,5,1.9808530692713544,1.5576790139572805
359,7,xgboost_naive_transfer,1,0.12,5,0.8216045388550636,0.6482447325607396
360,7,xgboost,1,0.12,6,2.1162845719256365,1.6717164171333534
